session,site,SVC_date,SVC_dive_start,SVC_dive_end
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
141,BISC-P12a,2014-09-16,1452,1520
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
142,BISC-P13a,2014-09-16,1322,1345
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
143,BISC-W30a,2014-09-16,1140,1220
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
144,BISC-W40-b,2014-09-16,1012,1105
