session,date_site,site,SVC_date,SVC_surveyor,SVC_dive_start,SVC_dive_end,SVC_sample_start,SVC_sample_end,SVC_total_sample_time,SVC_cylinder_rad,SVC_cylinder_area,SVC_temp_f,SVC_current,SVC_vis_ft,SVC_habitat,SVC_max_depth,SVC_min_depth,SVC_stat_depth,max_hard_relief,max_soft_relief,Sub < .2m,Sub .2-.5m,Sub .5-1m,Sub 1-1.5m,Sub > 1.5m,sand,hard-bottom,Rubble,Algae (<1cm),Algae (>1cm),sponge,octocoral,stony,other,period,species,SVC_abundance,SVC_mean_tl,SVC_min_tl,SVC_max_tl,L1,A1,L2,A2,L3,A3,L4,A4,L5,A5
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,NA,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,cocoa damselfish,1,7,7,7,NA,NA,NA,NA,7,1,NA,NA,NA,NA
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,NA,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,blue tang,1,10,10,10,NA,NA,NA,NA,10,1,NA,NA,NA,NA
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,NA,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,1,bluestriped grunt,1,13,13,13,NA,NA,NA,NA,13,1,NA,NA,NA,NA
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,NA,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,2,juvenile hamlet,1,6,6,6,NA,NA,NA,NA,6,1,NA,NA,NA,NA
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,NA,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,2,butter hamlet,1,12,12,12,NA,NA,NA,NA,12,1,NA,NA,NA,NA
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,NA,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,2,trumpetfish,1,50,50,50,NA,NA,NA,NA,50,1,NA,NA,NA,NA
141,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,Lizard,1452,1520,1454,1515,NA,5,78.53981634,85,None,15,Patch,15,7,8,0.5,1.5,5,10,75,10,0,NA,NA,NA,10,5,10,70,5,0,2,foureye butterflyfish,1,8,8,8,NA,NA,NA,NA,8,1,NA,NA,NA,NA
142,2014-09-16_BISC-P13a,BISC-P13a,2014-09-16,Lizard,1322,1345,1327,1340,NA,7,153.93804,89,None,20,Patch,20,8,10,<0.5,1,5,20,75,0,0,0,100,0,5,5,5,80,5,0,1,bicolor damselfish,1,8,8,8,NA,NA,NA,NA,8,1,NA,NA,NA,NA
142,2014-09-16_BISC-P13a,BISC-P13a,2014-09-16,Lizard,1322,1345,1327,1340,NA,7,153.93804,89,None,20,Patch,20,8,10,<0.5,1,5,20,75,0,0,0,100,0,5,5,5,80,5,0,1,threespot damselfish,1,7,7,7,NA,NA,NA,NA,7,1,NA,NA,NA,NA
142,2014-09-16_BISC-P13a,BISC-P13a,2014-09-16,Lizard,1322,1345,1327,1340,NA,7,153.93804,89,None,20,Patch,20,8,10,<0.5,1,5,20,75,0,0,0,100,0,5,5,5,80,5,0,1,white grunt,1,24,24,24,NA,NA,NA,NA,24,1,NA,NA,NA,NA
142,2014-09-16_BISC-P13a,BISC-P13a,2014-09-16,Lizard,1322,1345,1327,1340,NA,7,153.93804,89,None,20,Patch,20,8,10,<0.5,1,5,20,75,0,0,0,100,0,5,5,5,80,5,0,1,sergeant major,1,12,12,12,NA,NA,NA,NA,12,1,NA,NA,NA,NA
142,2014-09-16_BISC-P13a,BISC-P13a,2014-09-16,Lizard,1322,1345,1327,1340,NA,7,153.93804,89,None,20,Patch,20,8,10,<0.5,1,5,20,75,0,0,0,100,0,5,5,5,80,5,0,1,stoplight parrotfish,1,8,8,8,NA,NA,NA,NA,8,1,NA,NA,NA,NA
142,2014-09-16_BISC-P13a,BISC-P13a,2014-09-16,Lizard,1322,1345,1327,1340,NA,7,153.93804,89,None,20,Patch,20,8,10,<0.5,1,5,20,75,0,0,0,100,0,5,5,5,80,5,0,1,sharpnose puffer,1,4,4,4,NA,NA,NA,NA,4,1,NA,NA,NA,NA
142,2014-09-16_BISC-P13a,BISC-P13a,2014-09-16,Lizard,1322,1345,1327,1340,NA,7,153.93804,89,None,20,Patch,20,8,10,<0.5,1,5,20,75,0,0,0,100,0,5,5,5,80,5,0,2,bar jack,1,7,7,7,NA,NA,NA,NA,7,1,NA,NA,NA,NA
142,2014-09-16_BISC-P13a,BISC-P13a,2014-09-16,Lizard,1322,1345,1327,1340,NA,7,153.93804,89,None,20,Patch,20,8,10,<0.5,1,5,20,75,0,0,0,100,0,5,5,5,80,5,0,2,striped parrotfish,1,8,8,8,NA,NA,NA,NA,8,1,NA,NA,NA,NA
143,2014-09-16_BISC-W30a,BISC-W30a,2014-09-16,Lizard,1140,1220,1147,1209,NA,7,153.93804,87,None,40,Continuous,30,27,27,<0.5,0.8,80,20,NA,NA,NA,10,80,10,30,8,20,40,2,0,1,smooth trunkfish,1,20,20,20,NA,NA,NA,NA,20,1,NA,NA,NA,NA
143,2014-09-16_BISC-W30a,BISC-W30a,2014-09-16,Lizard,1140,1220,1147,1209,NA,7,153.93804,87,None,40,Continuous,30,27,27,<0.5,0.8,80,20,NA,NA,NA,10,80,10,30,8,20,40,2,0,1,white grunt,1,16,16,16,NA,NA,NA,NA,16,1,NA,NA,NA,NA
143,2014-09-16_BISC-W30a,BISC-W30a,2014-09-16,Lizard,1140,1220,1147,1209,NA,7,153.93804,87,None,40,Continuous,30,27,27,<0.5,0.8,80,20,NA,NA,NA,10,80,10,30,8,20,40,2,0,1,ocean surgeonfish,1,10,10,10,NA,NA,NA,NA,10,1,NA,NA,NA,NA
143,2014-09-16_BISC-W30a,BISC-W30a,2014-09-16,Lizard,1140,1220,1147,1209,NA,7,153.93804,87,None,40,Continuous,30,27,27,<0.5,0.8,80,20,NA,NA,NA,10,80,10,30,8,20,40,2,0,1,graysby,1,16,16,16,NA,NA,NA,NA,16,1,NA,NA,NA,NA
143,2014-09-16_BISC-W30a,BISC-W30a,2014-09-16,Lizard,1140,1220,1147,1209,NA,7,153.93804,87,None,40,Continuous,30,27,27,<0.5,0.8,80,20,NA,NA,NA,10,80,10,30,8,20,40,2,0,2,sharpnose puffer,1,4,4,4,NA,NA,NA,NA,4,1,NA,NA,NA,NA
143,2014-09-16_BISC-W30a,BISC-W30a,2014-09-16,Lizard,1140,1220,1147,1209,NA,7,153.93804,87,None,40,Continuous,30,27,27,<0.5,0.8,80,20,NA,NA,NA,10,80,10,30,8,20,40,2,0,2,lantern bass,1,5,5,5,NA,NA,NA,NA,5,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,1,harlequin bass,1,8,8,8,NA,NA,NA,NA,8,1,NA,NA,NA,NA
144,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,Lizard,1012,1105,1020,1050,NA,7,153.93804,85,Moderate,30,Continuous,50,44,45,1,0.5,10,75,10,5,0,5,90,5,10,10,20,50,10,0,1,blue parrotfish,1,50,50,50,NA,NA,NA,NA,50,1,NA,NA,NA,NA
