Region,Location,Site,Treatment,Lat,Long,Type,Survey direction,Site Length (m),Site Width (m),NPS code,Notes,site_area,,,,,,,,,,,,,,,,,,,
FGBNMS,East Bank,East 1,Removal,27.9095,-93.59742,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,East Bank,East 4,Removal,27.908817,-93.599833,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,East Bank,East 6,Removal,27.91075,-93.59917,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,East Bank,East 7,Removal,27.9086,-93.598567,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,West Bank ,West 1,Removal,27.8763,-93.815117,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,West Bank ,West 2,Removal,27.875433,-93.813933,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,West Bank ,West 3,Removal,27.874283,-93.816467,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P10a,non-removal,25.38374,-80.15926,patch,parallel to shore,48,34,SGREEN 10a,,1632,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P12a,non-removal,25.37149,-80.18525,patch,parallel to shore,29,26,SGREEN 12a,,754,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P14a,non-removal,25.34455,-80.19677,patch,parallel to shore,56,35,SGREEN 14a,,1960,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P7a,non-removal,25.4388,-80.15648,patch,parallel to shore,48,35,SGREEN 07a,,1680,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W30a,non-removal,25.362517,-80.14045,continuous,run along offshore ledge,50,40,SGREEN 30a,5m northwest or original coordinate,2000,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W60-11c,non-removal,25.306517,-80.15473,continuous,north,50,40,SGREEN 11c,40 m southeast of original point (56ft depth),2000,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W60-4b,non-removal,25.341617,-80.146217,continuous,north,50,40,SGREEN 04b,,2000,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W60-6d,non-removal,25.41218,-80.12433,continuous,north,50,40,SGREEN 06d,rebar is in valley betwwen two moderate relief spurs,2000,,,,,,,,,,,,,,,,,,,
Florida,Conch Reef,Conch 4B,Non-removal,24.95083,-80.45528,continuous,Adam headings,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,Danger 88,Non-removal,25.18487,-80.26943,patch,parallel to shore,21,9,,,189,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,Dixie Ledge,Non-removal,25.06985,-80.3169,continuous,north,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P13,Non-removal,25.239,-80.27525,patch,parallel to shore,57,22,,,1254,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P2,Non-removal,25.0427,-80.4077,patch,parallel to shore,19,9,,,171,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P4,Non-removal,25.09616,-80.3584,patch,parallel to shore,24,16,,,384,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P6,Non-removal,25.10627,-80.33422,patch,parallel to shore,19,14,,,266,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P8,Non-removal,25.12267,-80.3382,patch,parallel to shore,70,38,,,2660,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-W12,Non-removal,25.18503,-80.2245,continuous,north,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-W2,Non-removal,25.01708,-80.36359,continuous,north,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-W8,Non-removal,25.12948,-80.26458,continuous,north,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Tennessee Reef,Ten 3A,Non-removal,24.76418,-80.75455,continuous,Adam headings,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,Benwood Ledge,Removal,25.05202,-80.33108,continuous,north,42,34,,,1428,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P11a,Removal,25.3891,-80.1749,patch,parallel to shore,56,39,SGREEN 11a,,2184,,,,,,,,,,,,,,,,,,,
