session,site,prey_date,prey_time
141,BISC-P12a,2014-09-16,1450
141,BISC-P12a,2014-09-16,1503
142,BISC-P13a,2014-09-16,1324
142,BISC-P13a,2014-09-16,1337
143,BISC-W30a,2014-09-16,1148
143,BISC-W30a,2014-09-16,1203
143,BISC-W30a,2014-09-16,1147
143,BISC-W30a,2014-09-16,1200
144,BISC-W40-b,2014-09-16,1020
144,BISC-W40-b,2014-09-16,1030
145,BISC-P11a,2014-09-17,1557
145,BISC-P11a,2014-09-17,1608
146,BISC-P15a,2014-09-17,1420
146,BISC-P15a,2014-09-17,1436
147,BISC-W12,2014-09-17,1025
147,BISC-W12,2014-09-17,1058
148,BISC-W13,2014-09-17,1241
148,BISC-W13,2014-09-17,1228
149,BISC-P7a,2014-09-18,1355
149,BISC-P7a,2014-09-18,1416
150,BISC-P9a,2014-09-18,1539
150,BISC-P9a,2014-09-18,1556
151,BISC-W60-2b,2014-09-18,1221
151,BISC-W60-2b,2014-09-18,1235
152,BISC-W60-6d,2014-09-18,1016
152,BISC-W60-6d,2014-09-18,1028
153,BISC-P10a,2014-09-19,1600
153,BISC-P10a,2014-09-19,1617
154,BISC-P14a,2014-09-19,1425
154,BISC-P14a,2014-09-19,1445
155,BISC-W60-11c,2014-09-19,1035
155,BISC-W60-11c,2014-09-19,1047
156,BISC-W60-4b,2014-09-19,1252
156,BISC-W60-4b,2014-09-19,1309
157,Dixie Ledge,2014-09-22,932
157,Dixie Ledge,2014-09-22,950
157,Dixie Ledge,2014-09-22,932
157,Dixie Ledge,2014-09-22,1040
158,KL-P6,2014-09-22,1512
158,KL-P6,2014-09-22,1522
158,KL-P6,2014-09-22,1511
158,KL-P6,2014-09-22,1522
159,KL-P7,2014-09-22,1420
159,KL-P7,2014-09-22,1431
159,KL-P7,2014-09-22,1419
159,KL-P7,2014-09-22,1433
160,KL-P8,2014-09-22,1321
160,KL-P8,2014-09-22,1339
160,KL-P8,2014-09-22,1320
160,KL-P8,2014-09-22,1333
161,KL-W7,2014-09-22,1137
161,KL-W7,2014-09-22,1158
161,KL-W7,2014-09-22,1137
161,KL-W7,2014-09-22,1152
162,DANGER 88,2014-09-24,1335
162,DANGER 88,2014-09-24,1342
162,DANGER 88,2014-09-24,1333
162,DANGER 88,2014-09-24,
163,KL-30,2014-09-24,1427
163,KL-30,2014-09-24,1458
164,KL-P4,2014-09-24,1612
164,KL-P4,2014-09-24,1623
165,KL-W2,2014-09-24,952
165,KL-W2,2014-09-24,1003
165,KL-W2,2014-09-24,950
165,KL-W2,2014-09-24,1005
166,KL-W8,2014-09-24,1155
166,KL-W8,2014-09-24,1211
166,KL-W8,2014-09-24,1157
166,KL-W8,2014-09-24,1216
168,KL-P11,2014-09-25,1632
168,KL-P11,2014-09-25,1619
168,KL-P11,2014-09-25,1615
168,KL-P11,2014-09-25,1629
169,KL-P13,2014-09-25,1517
169,KL-P13,2014-09-25,1500
169,KL-P13,2014-09-25,1458
169,KL-P13,2014-09-25,1517
170,KL-P14,2014-09-25,1358
170,KL-P14,2014-09-25,1348
170,KL-P14,2014-09-25,1349
170,KL-P14,2014-09-25,1400
171,KL-W11,2014-09-25,1212
171,KL-W11,2014-09-25,1158
171,KL-W11,2014-09-25,1157
171,KL-W11,2014-09-25,1212
172,KL-W12,2014-09-26,1148
172,KL-W12,2014-09-26,1135
172,KL-W12,2014-09-26,1136
172,KL-W12,2014-09-26,1147
173,KL-W13,2014-09-26,1016
173,KL-W13,2014-09-26,954
173,KL-W13,2014-09-26,955
173,KL-W13,2014-09-26,1022
174,FKSP1,2014-09-28,1636
174,FKSP1,2014-09-28,
175,Ten 2A,2014-09-28,1513
175,Ten 2A,2014-09-28,1450
175,Ten 2A,2014-09-28,1449
175,Ten 2A,2014-09-28,1512
176,Ten 3A,2014-09-28,1316
176,Ten 3A,2014-09-28,1257
176,Ten 3A,2014-09-28,1300
176,Ten 3A,2014-09-28,1316
177,Ten 5A,2014-09-28,1119
177,Ten 5A,2014-09-28,1103
177,Ten 5A,2014-09-28,1102
177,Ten 5A,2014-09-28,1121
178,Conch 3A,2014-09-29,1009
178,Conch 3A,2014-09-29,1031
178,Conch 3A,2014-09-29,1029
178,Conch 3A,2014-09-29,1008
179,Conch 4B,2014-09-29,1203
179,Conch 4B,2014-09-29,1222
179,Conch 4B,2014-09-29,1216
179,Conch 4B,2014-09-29,1204
180,Conch 6A,2014-09-29,1347
180,Conch 6A,2014-09-29,1406
180,Conch 6A,2014-09-29,1405
180,Conch 6A,2014-09-29,1348
182,KL-P2,2014-09-29,1532
182,KL-P2,2014-09-29,1523
182,KL-P2,2014-09-29,1523
182,KL-P2,2014-09-29,1529
185,BISC-P12a,2015-03-16,1540
185,BISC-P12a,2015-03-16,1605
185,BISC-P12a,2015-03-16,1540
185,BISC-P12a,2015-03-16,1550
186,BISC-P13a,2015-03-16,1421
186,BISC-P13a,2015-03-16,1437
186,BISC-P13a,2015-03-16,1421
186,BISC-P13a,2015-03-16,1439
187,BISC-W13,2015-03-16,1032
187,BISC-W13,2015-03-16,1050
187,BISC-W13,2015-03-16,1033
187,BISC-W13,2015-03-16,1047
188,BISC-W60-4b,2015-03-16,1240
188,BISC-W60-4b,2015-03-16,1255
188,BISC-W60-4b,2015-03-16,1241
188,BISC-W60-4b,2015-03-16,1254
189,KL-W2,2015-03-17,1604
189,KL-W2,2015-03-17,1621
189,KL-W2,2015-03-17,1609
189,KL-W2,2015-03-17,1626
190,KL-W7,2015-03-17,1404
190,KL-W7,2015-03-17,1520
190,KL-W7,2015-03-17,1402
190,KL-W7,2015-03-17,1425
191,BISC-P14a,2015-03-18,1525
191,BISC-P14a,2015-03-18,1535
191,BISC-P14a,2015-03-18,1524
191,BISC-P14a,2015-03-18,1535
192,BISC-P15a,2015-03-18,1330
192,BISC-P15a,2015-03-18,1350
192,BISC-P15a,2015-03-18,1331
192,BISC-P15a,2015-03-18,1343
193,BISC-W12,2015-03-18,948
193,BISC-W12,2015-03-18,1001
193,BISC-W12,2015-03-18,947
193,BISC-W12,2015-03-18,1005
194,BISC-W60-11c,2015-03-18,1157
194,BISC-W60-11c,2015-03-18,1210
194,BISC-W60-11c,2015-03-18,1156
194,BISC-W60-11c,2015-03-18,1211
195,BISC-P10a,2015-03-19,1430
195,BISC-P10a,2015-03-19,1445
195,BISC-P10a,2015-03-19,1429
195,BISC-P10a,2015-03-19,1445
196,BISC-P11a,2015-03-19,1321
196,BISC-P11a,2015-03-19,1336
196,BISC-P11a,2015-03-19,1321
196,BISC-P11a,2015-03-19,1340
197,BISC-W30a,2015-03-19,1157
197,BISC-W30a,2015-03-19,1210
197,BISC-W30a,2015-03-19,1157
197,BISC-W30a,2015-03-19,1212
198,BISC-W40-b,2015-03-19,1016
198,BISC-W40-b,2015-03-19,1031
198,BISC-W40-b,2015-03-19,1018
198,BISC-W40-b,2015-03-19,1034
199,BISC-P7a,2015-03-20,1355
199,BISC-P7a,2015-03-20,1409
199,BISC-P7a,2015-03-20,1354
199,BISC-P7a,2015-03-20,1410
200,BISC-P9a,2015-03-20,1505
200,BISC-P9a,2015-03-20,1520
200,BISC-P9a,2015-03-20,1503
200,BISC-P9a,2015-03-20,1524
201,BISC-W60-2b,2015-03-20,1220
201,BISC-W60-2b,2015-03-20,1231
201,BISC-W60-2b,2015-03-20,1222
201,BISC-W60-2b,2015-03-20,1238
202,BISC-W60-6d,2015-03-20,1015
202,BISC-W60-6d,2015-03-20,1030
202,BISC-W60-6d,2015-03-20,1017
202,BISC-W60-6d,2015-03-20,1032
203,FKSP1,2015-03-22,1715
203,FKSP1,2015-03-22,1727
203,FKSP1,2015-03-22,1715
203,FKSP1,2015-03-22,
204,Ten 2A,2015-03-22,1106
204,Ten 2A,2015-03-22,1122
204,Ten 2A,2015-03-22,1106
204,Ten 2A,2015-03-22,1124
205,Ten 3A,2015-03-22,1313
205,Ten 3A,2015-03-22,1327
205,Ten 3A,2015-03-22,1313
205,Ten 3A,2015-03-22,1333
206,Ten 5A,2015-03-22,1540
206,Ten 5A,2015-03-22,1554
206,Ten 5A,2015-03-22,1537
206,Ten 5A,2015-03-22,1557
207,Conch 3A,2015-03-23,1350
207,Conch 3A,2015-03-23,1410
207,Conch 3A,2015-03-23,1349
207,Conch 3A,2015-03-23,1402
208,Conch 4B,2015-03-23,1155
208,Conch 4B,2015-03-23,1207
208,Conch 4B,2015-03-23,1155
208,Conch 4B,2015-03-23,1211
209,Conch 6A,2015-03-23,1002
209,Conch 6A,2015-03-23,1020
209,Conch 6A,2015-03-23,1000
209,Conch 6A,2015-03-23,1017
210,KL-P2,2015-03-23,1554
210,KL-P2,2015-03-23,1610
210,KL-P2,2015-03-23,1539
210,KL-P2,2015-03-23,1557
211,DANGER 88,2015-03-24,1730
211,DANGER 88,2015-03-24,1740
211,DANGER 88,2015-03-24,
211,DANGER 88,2015-03-24,1739
212,KL-P11,2015-03-24,1620
212,KL-P11,2015-03-24,1618
212,KL-P11,2015-03-24,1634
213,KL-P13,2015-03-24,1502
213,KL-P13,2015-03-24,1521
213,KL-P13,2015-03-24,1502
213,KL-P13,2015-03-24,1523
214,KL-P14,2015-03-24,1350
214,KL-P14,2015-03-24,1409
214,KL-P14,2015-03-24,1348
214,KL-P14,2015-03-24,1402
215,KL-W12,2015-03-24,1000
215,KL-W12,2015-03-24,1016
215,KL-W12,2015-03-24,1026
215,KL-W12,2015-03-24,1000
216,KL-W13,2015-03-24,1210
216,KL-W13,2015-03-24,1223
216,KL-W13,2015-03-24,
216,KL-W13,2015-03-24,1222
217,KL-P5,2015-03-25,1307
217,KL-P5,2015-03-25,1331
217,KL-P5,2015-03-25,1309
217,KL-P5,2015-03-25,1337
218,KL-P6,2015-03-25,1427
218,KL-P6,2015-03-25,1441
218,KL-P6,2015-03-25,1422
218,KL-P6,2015-03-25,1444
219,KL-P7,2015-03-25,1520
219,KL-P7,2015-03-25,1534
219,KL-P7,2015-03-25,1520
219,KL-P7,2015-03-25,1534
220,KL-W11,2015-03-25,1123
220,KL-W11,2015-03-25,1144
220,KL-W11,2015-03-25,1125
220,KL-W11,2015-03-25,1141
221,KL-W8,2015-03-25,927
221,KL-W8,2015-03-25,940
221,KL-W8,2015-03-25,925
221,KL-W8,2015-03-25,940
222,Benwood Ledge,2015-03-26,934
222,Benwood Ledge,2015-03-26,954
222,Benwood Ledge,2015-03-26,934
222,Benwood Ledge,2015-03-26,954
223,Dixie Ledge,2015-03-26,1207
