"","session","species","size_bin","prey_abundance"
"1",141,"beaugregory",1,2
"2",141,"blue angelfish",4,1
"3",141,"bluehead wrasse",1,1
"4",141,"bluestriped grunt",2,4
"5",141,"bluestriped grunt",5,2
"6",141,"bridled goby",1,1
"7",141,"butter hamlet",2,4
"8",141,"colon goby",1,1
"9",141,"dusky damselfish",2,1
"10",141,"goldspot goby",1,1
"11",141,"goldspot goby",2,2
"12",141,"gray angelfish",2,1
"13",141,"masked goby",1,10
"14",141,"queen angelfish",3,1
"15",141,"red grouper",5,1
"16",141,"redband parrotfish",1,6
"17",141,"redband parrotfish",2,4
"18",141,"redband parrotfish",3,2
"19",141,"roughhead blenny",1,1
"20",141,"sand diver",5,1
"21",141,"sharpnose puffer",2,1
"22",141,"slippery dick",3,2
"23",141,"spotted moray",6,2
"24",141,"stoplight parrotfish",1,2
"25",141,"stoplight parrotfish",2,3
"26",141,"stoplight parrotfish",3,1
"27",141,"striped parrotfish",1,7
"28",141,"striped parrotfish",2,3
"29",141,"striped parrotfish",3,1
"30",141,"threespot damselfish",2,1
"31",141,"white grunt",1,1
"32",141,"white grunt",2,64
"33",141,"white grunt",3,21
"34",141,"white grunt",4,4
"35",141,"white grunt",5,2
"36",141,"yellowtail snapper",2,8
"37",142,"beaugregory",2,2
"38",142,"bicolor damselfish",1,3
"39",142,"bicolor damselfish",2,1
"40",142,"black hamlet",2,1
"41",142,"bluehead wrasse",2,5
"42",142,"bluestriped grunt",4,1
"43",142,"bridled goby",1,2
"44",142,"butter hamlet",2,1
"45",142,"goldspot goby",1,1
"46",142,"highhat",3,1
"47",142,"neon goby",1,1
"48",142,"redband parrotfish",1,3
"49",142,"redband parrotfish",2,7
"50",142,"redband parrotfish",3,1
"51",142,"roughhead blenny",1,2
"52",142,"schoolmaster snapper",4,1
"53",142,"sharpnose puffer",1,1
"54",142,"slippery dick",2,1
"55",142,"stoplight parrotfish",1,2
"56",142,"stoplight parrotfish",2,3
"57",142,"stoplight parrotfish",3,1
"58",142,"striped parrotfish",2,5
"59",142,"threespot damselfish",2,3
"60",142,"white grunt",2,2
"61",142,"white grunt",3,9
"62",142,"white grunt",4,5
"63",142,"white grunt",5,6
"64",142,"yellowhead wrasse",2,2
"65",142,"yellowtail snapper",3,12
"66",143,"banded butterflyfish",3,2
"67",143,"bar jack",5,6
"68",143,"beaugregory",2,1
"69",143,"bicolor damselfish",1,57
"70",143,"bicolor damselfish",2,25
"71",143,"blue chromis",2,2
"72",143,"bluehead wrasse",1,63
"73",143,"bluehead wrasse",2,74
"74",143,"bluehead wrasse",3,2
"75",143,"bridled goby",1,11
"76",143,"bridled goby",2,4
"77",143,"butter hamlet",2,1
"78",143,"clown wrasse",1,1
"79",143,"clown wrasse",2,4
"80",143,"clown wrasse",3,2
"81",143,"colon goby",1,22
"82",143,"creole wrasse",2,6
"83",143,"doctorfish",5,1
"84",143,"foureye butterflyfish",2,2
"85",143,"goldspot goby",1,35
"86",143,"goldspot goby",2,3
"87",143,"graysby",3,1
"88",143,"graysby",4,2
"89",143,"graysby",5,2
"90",143,"greenblotch parrotfish",1,2
"91",143,"harlequin bass",1,2
"92",143,"harlequin bass",2,3
"93",143,"highhat",3,1
"94",143,"longfin damselfish",2,5
"95",143,"longfin damselfish",3,1
"96",143,"masked goby",1,15
"97",143,"ocean surgeonfish",3,1
"98",143,"ocean surgeonfish",4,4
"99",143,"pallid goby",1,3
"100",143,"redband parrotfish",1,39
"101",143,"redband parrotfish",2,11
"102",143,"redband parrotfish",3,1
"103",143,"redband parrotfish",4,2
"104",143,"redband parrotfish",5,3
"105",143,"rock beauty",1,1
"106",143,"roughhead blenny",1,6
"107",143,"scrawled filefish",6,1
"108",143,"sergeant major",3,1
"109",143,"sharpnose puffer",1,7
"110",143,"slippery dick",2,4
"111",143,"spanish hogfish",4,1
"112",143,"spotfin butterflyfish",3,2
"113",143,"stoplight parrotfish",1,2
"114",143,"stoplight parrotfish",2,1
"115",143,"stoplight parrotfish",5,2
"116",143,"striped parrotfish",1,3
"117",143,"trumpetfish",6,1
"118",143,"white grunt",3,1
"119",143,"white grunt",5,1
"120",143,"yellowhead wrasse",1,4
"121",143,"yellowhead wrasse",2,21
"122",143,"yellowhead wrasse",3,1
"123",143,"yellowtail damselfish",3,1
"124",143,"yellowtail snapper",4,2
"125",144,"beaugregory",2,1
"126",144,"bicolor damselfish",1,11
