binomial,lifestage,shape
Enchelycore nigricans,adult,anguilliform
Gymnothorax funebris,adult,anguilliform
Gymnothorax miliaris,adult,anguilliform
Gymnothorax moringa,adult,anguilliform
Gymnothorax vicinus,adult,anguilliform
Myrichthys breviceps,adult,anguilliform
Menidia peninsulae,adult,elongated
Holocentrus adscensionis,adult,fusiform
Holocentrus rufus,adult,fusiform
Myripristis jacobus,adult,fusiform
Acanthurus chirurgus,adult,compressiform
Acanthurus coeruleus,adult,compressiform
Acanthurus coeruleus,juvenile,compressiform
Acanthurus tractus,adult,compressiform
Apogon binotatus,adult,elongated
Apogon lachneri,adult,elongated
Hypleurochilus bermudensis,adult,elongated
Parablennius marmoreus,adult,elongated
Callionymus bairdi,adult,elongated
Caranx bartholomaei,adult,fusiform
Caranx crysos,adult,fusiform
Caranx ruber,adult,fusiform
Decapterus macarellus,adult,fusiform
Decapterus punctatus,adult,fusiform
Seriola dumerili,adult,fusiform
Trachinotus carolinus,adult,compressiform
Trachinotus falcatus,adult,compressiform
Acanthemblemaria aspera,adult,elongated
Acanthemblemaria chaplini,adult,elongated
Emblemaria pandionis,adult,elongated
Emblemariopsis bahamensis,adult,elongated
Emblemariopsis diaphana,adult,elongated
Hemiemblemaria simulus,adult,elongated
Chaetodon capistratus,adult,compressiform
Chaetodon ocellatus,adult,compressiform
Chaetodon sedentarius,adult,compressiform
Chaetodon striatus,adult,compressiform
Prognathodes aculeatus,adult,compressiform
Chaetodipterus faber,adult,compressiform
Cephalopholis cruentata,adult,fusiform
Cephalopholis fulva,adult,fusiform
Epinephelus adscensionis,adult,fusiform
Epinephelus guttatus,adult,fusiform
Epinephelus morio,adult,fusiform
Epinephelus striatus,adult,fusiform
Mycteroperca bonaci,adult,fusiform
Mycteroperca microlepis,adult,fusiform
Mycteroperca phenax,adult,fusiform
Rypticus saponaceus,adult,fusiform
Coryphopterus dicrus,adult,elongated
Coryphopterus eidolon,adult,elongated
Coryphopterus glaucofraenum,adult,elongated
Coryphopterus personatus,adult,elongated
Ctenogobius saepepallens,adult,elongated
Elacatinus oceanops,adult,elongated
Gnatholepis thompsoni,adult,elongated
Nes longus,adult,elongated
Tigrigobius macrodon,adult,elongated
Anisotremus surinamensis,adult,compressiform
Anisotremus virginicus,adult,compressiform
Haemulon album,adult,fusiform
Haemulon aurolineatum,adult,fusiform
Haemulon bonariense,adult,fusiform
Haemulon carbonarium,adult,fusiform
Haemulon chrysargyreum,adult,fusiform
Haemulon flavolineatum,adult,fusiform
Haemulon macrostomum,adult,fusiform
Haemulon melanurum,adult,fusiform
Haemulon parra,adult,compressiform
Haemulon plumierii,adult,compressiform
Haemulon sciurus,adult,fusiform
Haemulon striatum,adult,fusiform
Kyphosus sectatrix,adult,compressiform
Kyphosus vaigiensis,adult,compressiform
Bodianus rufus,adult,fusiform
Clepticus parrae,adult,fusiform
Cryptotomus roseus,adult,fusiform
Halichoeres bivittatus,adult,elongated
Halichoeres garnoti,adult,elongated
Halichoeres maculipinna,adult,elongated
Halichoeres pictus,adult,elongated
Halichoeres poeyi,adult,elongated
Halichoeres radiatus,adult,fusiform
Halichoeres radiatus,juvenile,fusiform
Lachnolaimus maximus,adult,compressiform
Lachnolaimus maximus,juvenile,compressiform
Scarus coelestinus,adult,fusiform
Scarus coeruleus,adult,fusiform
Scarus guacamaia,adult,fusiform
Scarus iseri,adult,fusiform
Scarus taeniopterus,adult,fusiform
Scarus vetula,adult,fusiform
Sparisoma atomarium,adult,fusiform
Sparisoma aurofrenatum,adult,fusiform
Sparisoma chrysopterum,adult,fusiform
Sparisoma radians,adult,fusiform
Sparisoma rubripinne,adult,fusiform
Sparisoma viride,adult,fusiform
Thalassoma bifasciatum,adult,fusiform
Xyrichtys novacula,adult,elongated
Xyrichtys splendens,adult,elongated
Gobioclinus bucciferus,adult,elongated
Malacoctenus gilli,adult,elongated
Malacoctenus macropus,adult,elongated
Malacoctenus triangulatus,adult,elongated
Lutjanus analis,adult,fusiform
Lutjanus apodus,adult,fusiform
Lutjanus buccanella,adult,fusiform
Lutjanus cyanopterus,adult,fusiform
Lutjanus griseus,adult,fusiform
Lutjanus jocu,adult,fusiform
Lutjanus mahogoni,adult,fusiform
Lutjanus synagris,adult,fusiform
Ocyurus chrysurus,adult,fusiform
Ptereleotris calliura,adult,elongated
Mulloidichthys martinicus,adult,fusiform
Pseudupeneus maculatus,adult,elongated
Opistognathus aurifrons,adult,elongated
Opistognathus macrognathus,adult,elongated
Holacanthus bermudensis,adult,compressiform
Holacanthus bermudensis,juvenile,compressiform
Holacanthus ciliaris,adult,compressiform
Holacanthus ciliaris,juvenile,compressiform
Holacanthus tricolor,adult,compressiform
Holocanthus townsendi,adult,compressiform
Pomacanthus arcuatus,adult,compressiform
Pomacanthus arcuatus,juvenile,compressiform
Pomacanthus paru,adult,compressiform
Pomacanthus paru,juvenile,compressiform
Abudefduf saxatilis,adult,compressiform
Abudefduf saxatilis,juvenile,compressiform
Chromis cyanea,adult,compressiform
Chromis cyanea,juvenile,compressiform
Chromis insolata,adult,compressiform
Chromis insolata,juvenile,compressiform
Chromis multilineata,adult,fusiform
Chromis multilineata,juvenile,fusiform
Chromis scotti,adult,compressiform
Chromis scotti,juvenile,compressiform
Microspathodon chrysurus,adult,compressiform
Microspathodon chrysurus,juvenile,compressiform
Stegastes adustus,adult,compressiform
Stegastes diencaeus,adult,compressiform
Stegastes diencaeus,juvenile,compressiform
Stegastes leucostictus,adult,compressiform
Stegastes leucostictus,juvenile,compressiform
Stegastes partitus,adult,compressiform
Stegastes partitus,juvenile,compressiform
Stegastes planifrons,adult,compressiform
Stegastes planifrons,juvenile,compressiform
Stegastes xanthurus,adult,compressiform
Stegastes xanthurus,juvenile,compressiform
Equetus punctatus,adult,fusiform
Pareques acuminatus,adult,fusiform
Scomberomorus maculatus,adult,fusiform
Scomberomorus regalis,adult,fusiform
Hypoplectrus floridae,adult,fusiform
Hypoplectrus gemma,adult,fusiform
Hypoplectrus indigo,adult,compressiform
Hypoplectrus nigricans,adult,compressiform
Hypoplectrus puella,adult,compressiform
Hypoplectrus randallorum,adult,fusiform
Hypoplectrus unicolor,adult,compressiform
Serranus baldwini,adult,fusiform
Serranus tabacarius,adult,elongated
Serranus tigrinus,adult,fusiform
Serranus tortugarum,adult,fusiform
Archosargus probatocephalus,adult,compressiform
Archosargus rhomboidalis,adult,compressiform
Calamus bajonado,adult,compressiform
Calamus calamus,adult,compressiform
Calamus nodosus,adult,compressiform
Calamus pennatula,adult,compressiform
Calamus proridens,adult,compressiform
Sphyraena barracuda,adult,elongated
Synodus intermedius,adult,elongated
Synodus synodus,adult,elongated
Bothus ocellatus,adult,depressiform
Pterois volitans,adult,fusiform
Scorpaena plumieri,adult,fusiform
Aulostomus maculatus,adult,anguilliform
Balistes capriscus,adult,compressiform
Canthidermis sufflamen,adult,compressiform
Diodon holocanthus,adult,globiform
Diodon hystrix,adult,globiform
Aluterus scriptus,adult,compressiform
Cantherhines macrocerus,adult,compressiform
Cantherhines pullus,adult,compressiform
Monacanthus tuckeri,adult,compressiform
Acanthostracion quadricornis,adult,globiform
