Y,X,Name
25.05202,-80.33108,Benwood Ledge
25.38374,-80.15926,BISC-P10a
25.3891,-80.1749,BISC-P11a
25.37149,-80.18525,BISC-P12a
25.36596,-80.17025,BISC-P13a
25.34455,-80.19677,BISC-P14a
25.32747,-80.19591,BISC-P15a
25.4388,-80.15648,BISC-P7a
25.41211,-80.15293,BISC-P9a
25.29342,-80.16365,BISC-W12
25.3259,-80.15105,BISC-W13
25.362517,-80.14045,BISC-W30a
25.38493,-80.132617,BISC-W40-b
25.306517,-80.15473,BISC-W60-11c
25.44028,80.11593,BISC-W60-2b
25.341617,-80.146217,BISC-W60-4b
25.41218,-80.12433,BISC-W60-6d
24.9515,-80.45342,Conch 3A
24.95083,-80.45528,Conch 4B
24.94922,-80.45422,Conch 6A
25.18487,-80.26943,DANGER 88
25.06985,-80.3169,Dixie Ledge
24.83727,-80.73035,FKSP1
25.2076,-80.28345,KL-P11
25.239,-80.27525,KL-P13
25.27105,-80.25161,KL-P14
25.0427,-80.4077,KL-P2
25.09616,-80.3584,KL-P4
25.0995,-80.3418,KL-P5
25.10627,-80.33422,KL-P6
25.11229,-80.33028,KL-P7
25.12267,-80.3382,KL-P8
25.15847,-80.25019,KL-W11
25.18503,-80.2245,KL-W12
25.01708,-80.36359,KL-W2
25.11549,-80.27799,KL-W7
25.12948,-80.26458,KL-W8
24.76258,-80.75648,Ten 2A
24.76418,-80.75455,Ten 3A
24.76603,-80.75181,Ten 5A
25.197817,-80.219733,KL-W13
25.13613,-80.33527,KL-30
