site,transect,date,depth_m,name,transect_distance,relief_cm
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,0,20
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,4,30
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,8,5
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,12,80
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,16,45
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,20,50
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,24,15
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,28,80
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,32,25
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,36,28
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,40,20
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,44,10
Benwood Ledge,Shallow,14/03/2014,13.8,Steph,48,90
Benwood Ledge,Deep,14/03/2014,16.7,Lad,0,180
Benwood Ledge,Deep,14/03/2014,16.7,Lad,4,330
Benwood Ledge,Deep,14/03/2014,16.7,Lad,8,28
Benwood Ledge,Deep,14/03/2014,16.7,Lad,12,16
Benwood Ledge,Deep,14/03/2014,16.7,Lad,16,19
Benwood Ledge,Deep,14/03/2014,16.7,Lad,20,30
Benwood Ledge,Deep,14/03/2014,16.7,Lad,24,36
Benwood Ledge,Deep,14/03/2014,16.7,Lad,28,16
Benwood Ledge,Deep,14/03/2014,16.7,Lad,32,32
Benwood Ledge,Deep,14/03/2014,16.7,Lad,36,39
Benwood Ledge,Deep,14/03/2014,16.7,Lad,40,48
Benwood Ledge,Deep,14/03/2014,16.7,Lad,44,31
Benwood Ledge,Deep,14/03/2014,16.7,Lad,48,23
BISC-W30a,Offshore,21/03/2014,9.4,Lad,0,42
BISC-W30a,Offshore,21/03/2014,9.4,Lad,4,16
BISC-W30a,Offshore,21/03/2014,9.4,Lad,8,17
BISC-W30a,Offshore,21/03/2014,9.4,Lad,12,19
BISC-W30a,Offshore,21/03/2014,9.4,Lad,16,10
BISC-W30a,Offshore,21/03/2014,9.4,Lad,20,12
BISC-W30a,Offshore,21/03/2014,9.4,Lad,24,8
BISC-W30a,Offshore,21/03/2014,9.4,Lad,28,21
BISC-W30a,Offshore,21/03/2014,9.4,Lad,32,19
BISC-W30a,Offshore,21/03/2014,9.4,Lad,36,20
BISC-W30a,Offshore,21/03/2014,9.4,Lad,40,9
BISC-W30a,Offshore,21/03/2014,9.4,Lad,42,20
BISC-W30a,Offshore,21/03/2014,9.4,Lad,48,19
BISC-W30a,Offshore,21/03/2014,8.8,Steph,0,128
BISC-W30a,Offshore,21/03/2014,8.8,Steph,4,127
BISC-W30a,Offshore,21/03/2014,8.8,Steph,8,87
BISC-W30a,Offshore,21/03/2014,8.8,Steph,12,32
BISC-W30a,Offshore,21/03/2014,8.8,Steph,16,65
BISC-W30a,Offshore,21/03/2014,8.8,Steph,20,18
BISC-W30a,Offshore,21/03/2014,8.8,Steph,24,26
BISC-W30a,Offshore,21/03/2014,8.8,Steph,28,41
BISC-W30a,Offshore,21/03/2014,8.8,Steph,32,90
BISC-W30a,Offshore,21/03/2014,8.8,Steph,36,33
BISC-W30a,Offshore,21/03/2014,8.8,Steph,40,17
BISC-W30a,Offshore,21/03/2014,8.8,Steph,44,0
BISC-W30a,Offshore,21/03/2014,8.8,Steph,48,50
BISC-P10a,Offshore,21/03/2014,4.5,Lad,0,70
BISC-P10a,Offshore,21/03/2014,4.5,Lad,4,63
BISC-P10a,Offshore,21/03/2014,4.5,Lad,8,60
BISC-P10a,Offshore,21/03/2014,4.5,Lad,12,97
BISC-P10a,Offshore,21/03/2014,4.5,Lad,16,94
BISC-P10a,Offshore,21/03/2014,4.5,Lad,20,88
BISC-P10a,Offshore,21/03/2014,4.5,Lad,24,42
BISC-P10a,Offshore,21/03/2014,4.5,Lad,28,106
BISC-P10a,Offshore,21/03/2014,4.5,Lad,32,54
BISC-P10a,Offshore,21/03/2014,4.5,Lad,36,56
BISC-P10a,Offshore,21/03/2014,4.5,Lad,40,65
BISC-P10a,Offshore,21/03/2014,4.5,Lad,42,26
BISC-P10a,Offshore,21/03/2014,4.5,Lad,48,41
BISC-P11a,Inshore,21/03/2014,5.2,Lad,0,58
BISC-P11a,Inshore,21/03/2014,5.2,Lad,4,110
BISC-P11a,Inshore,21/03/2014,5.2,Lad,8,16
BISC-P11a,Inshore,21/03/2014,5.2,Lad,12,18
BISC-P11a,Inshore,21/03/2014,5.2,Lad,16,20
BISC-P11a,Inshore,21/03/2014,5.2,Lad,20,19
BISC-P11a,Inshore,21/03/2014,5.2,Lad,24,16
BISC-P11a,Inshore,21/03/2014,5.2,Lad,28,17
BISC-P11a,Inshore,21/03/2014,5.2,Lad,32,50
BISC-P11a,Inshore,21/03/2014,5.2,Lad,36,70
BISC-P11a,Inshore,21/03/2014,5.2,Lad,40,54
BISC-P11a,Inshore,21/03/2014,5.2,Lad,44,12
BISC-P11a,Offshore,21/03/2014,2.7,Steph,0,0
BISC-P11a,Offshore,21/03/2014,2.7,Steph,4,50
BISC-P11a,Offshore,21/03/2014,2.7,Steph,8,91
BISC-P11a,Offshore,21/03/2014,2.7,Steph,12,75
BISC-P11a,Offshore,21/03/2014,2.7,Steph,16,70
BISC-P11a,Offshore,21/03/2014,2.7,Steph,20,20
BISC-P11a,Offshore,21/03/2014,2.7,Steph,24,40
BISC-P11a,Offshore,21/03/2014,2.7,Steph,28,30
BISC-P11a,Offshore,21/03/2014,2.7,Steph,32,37
BISC-P11a,Offshore,21/03/2014,2.7,Steph,36,54
BISC-P11a,Offshore,21/03/2014,2.7,Steph,40,42
BISC-P11a,Offshore,21/03/2014,2.7,Steph,44,65
BISC-P11a,Offshore,21/03/2014,2.7,Steph,48,0
BISC-P12a,Inshore,21/03/2014,5.5,Lad,0,30
BISC-P12a,Inshore,21/03/2014,5.5,Lad,4,70
BISC-P12a,Inshore,21/03/2014,5.5,Lad,8,42
BISC-P12a,Inshore,21/03/2014,5.5,Lad,12,31
BISC-P12a,Inshore,21/03/2014,5.5,Lad,16,39
BISC-P12a,Inshore,21/03/2014,5.5,Lad,20,47
BISC-P12a,Inshore,21/03/2014,5.5,Lad,24,38
BISC-P12a,Inshore,21/03/2014,5.5,Lad,28,30
BISC-P12a,Inshore,21/03/2014,5.5,Lad,32,0
BISC-P12a,Offshore,21/03/2014,3,Steph,0,29
BISC-P12a,Offshore,21/03/2014,3,Steph,4,53
BISC-P12a,Offshore,21/03/2014,3,Steph,8,47
BISC-P12a,Offshore,21/03/2014,3,Steph,12,60
BISC-P12a,Offshore,21/03/2014,3,Steph,16,41
BISC-P12a,Offshore,21/03/2014,3,Steph,20,100
BISC-P12a,Offshore,21/03/2014,3,Steph,24,32
BISC-P12a,Offshore,21/03/2014,3,Steph,28,0
BISC-P12a,Offshore,21/03/2014,3,Steph,32,70
BISC-P13a,Inshore,20/03/2014,5.2,Lad,0,49
