"","session","species","var","SVC_tl","SVC_abundance","size_bin"
"1",141,"threespot damselfish","1",7,1,2
"2",141,"yellowtail snapper","1",10,1,2
"3",141,"redband parrotfish","1",4,1,1
"4",141,"stoplight parrotfish","1",5,1,1
"5",141,"white grunt","1",7,1,2
"6",141,"striped parrotfish","1",4,1,1
"7",141,"white grunt","2",8.5,16.25,2
"8",141,"striped parrotfish","2",5,2.75,1
"9",141,"cocoa damselfish","3",7,1,2
"10",141,"blue tang","3",10,1,2
"11",141,"bluestriped grunt","3",13,1,3
"12",141,"juvenile hamlet","3",6,1,2
"13",141,"butter hamlet","3",12,1,3
"14",141,"trumpetfish","3",50,1,6
"15",141,"foureye butterflyfish","3",8,1,2
"16",141,"redband parrotfish","3",10,2,2
"17",141,"stoplight parrotfish","3",15,2,3
"18",141,"white grunt","3",10,34.5,2
"19",141,"striped parrotfish","3",6,7.5,2
"20",141,"white grunt","4",15.5,16.25,4
"21",141,"striped parrotfish","4",15.5,2.75,4
"22",141,"threespot damselfish","5",8,1,2
"23",141,"yellowtail snapper","5",13,1,3
"24",141,"redband parrotfish","5",12,1,3
"25",141,"stoplight parrotfish","5",35,1,6
"26",141,"white grunt","5",21,1,5
"27",141,"striped parrotfish","5",25,1,5
"28",142,"trumpetfish","1",45,1,6
"29",142,"bluehead wrasse","1",5,1,1
"30",142,"redband parrotfish","1",4,1,1
"31",142,"yellowtail snapper","1",12,1,3
"32",142,"bluehead wrasse","2",7,0.75,2
"33",142,"redband parrotfish","2",6,0.5,2
"34",142,"yellowtail snapper","2",13.5,2.75,3
"35",142,"bicolor damselfish","3",8,1,2
"36",142,"threespot damselfish","3",7,1,2
"37",142,"white grunt","3",24,1,5
"38",142,"sergeant major","3",12,1,3
"39",142,"stoplight parrotfish","3",8,1,2
"40",142,"sharpnose puffer","3",4,1,1
"41",142,"bar jack","3",7,1,2
"42",142,"striped parrotfish","3",8,1,2
"43",142,"bluehead wrasse","3",9,3.5,2
"44",142,"redband parrotfish","3",8,3,2
"45",142,"yellowtail snapper","3",15,7.5,3
"46",142,"bluehead wrasse","4",10.5,0.75,3
"47",142,"redband parrotfish","4",10,0.5,2
"48",142,"yellowtail snapper","4",16.5,2.75,4
"49",142,"trumpetfish","5",50,1,6
"50",142,"bluehead wrasse","5",12,1,3
"51",142,"redband parrotfish","5",12,1,3
"52",142,"yellowtail snapper","5",18,1,4
"53",143,"clown wrasse","1",7,1,2
"54",143,"foureye butterflyfish","1",10,1,2
"55",143,"slender filefish","1",3,1,1
"56",143,"greenblotch parrotfish","1",4,1,1
"57",143,"bluehead wrasse","1",3,1,1
"58",143,"redband parrotfish","1",3,1,1
"59",143,"yellowhead wrasse","1",5,1,1
"60",143,"slippery dick","1",4,1,1
"61",143,"bicolor damselfish","1",3,1,1
