"","session","species","size_bin","SVC_abundance"
"1",141,"threespot damselfish",2,2
"2",141,"yellowtail snapper",2,1
"3",141,"redband parrotfish",1,1
"4",141,"stoplight parrotfish",1,1
"5",141,"white grunt",2,51.75
"6",141,"striped parrotfish",1,3.75
"7",141,"cocoa damselfish",2,1
"8",141,"blue tang",2,1
"9",141,"bluestriped grunt",3,1
"10",141,"juvenile hamlet",2,1
"11",141,"butter hamlet",3,1
"12",141,"trumpetfish",6,1
"13",141,"foureye butterflyfish",2,1
"14",141,"redband parrotfish",2,2
"15",141,"stoplight parrotfish",3,2
"16",141,"striped parrotfish",2,7.5
"17",141,"white grunt",4,16.25
"18",141,"striped parrotfish",4,2.75
"19",141,"yellowtail snapper",3,1
"20",141,"redband parrotfish",3,1
"21",141,"stoplight parrotfish",6,1
"22",141,"white grunt",5,1
"23",141,"striped parrotfish",5,1
"24",142,"trumpetfish",6,2
"25",142,"bluehead wrasse",1,1
"26",142,"redband parrotfish",1,1
"27",142,"yellowtail snapper",3,11.25
"28",142,"bluehead wrasse",2,4.25
"29",142,"redband parrotfish",2,4
"30",142,"bicolor damselfish",2,1
"31",142,"threespot damselfish",2,1
"32",142,"white grunt",5,1
"33",142,"sergeant major",3,1
"34",142,"stoplight parrotfish",2,1
"35",142,"sharpnose puffer",1,1
"36",142,"bar jack",2,1
"37",142,"striped parrotfish",2,1
"38",142,"bluehead wrasse",3,1.75
"39",142,"yellowtail snapper",4,3.75
"40",142,"redband parrotfish",3,1
"41",143,"clown wrasse",2,2
"42",143,"foureye butterflyfish",2,1
"43",143,"slender filefish",1,2
"44",143,"greenblotch parrotfish",1,3
"45",143,"bluehead wrasse",1,3.5
"46",143,"redband parrotfish",1,1
"47",143,"yellowhead wrasse",1,1
"48",143,"slippery dick",1,1.5
"49",143,"bicolor damselfish",1,7.5
"50",143,"redband parrotfish",2,3
"51",143,"yellowhead wrasse",2,5
"52",143,"smooth trunkfish",4,1
"53",143,"white grunt",4,1
"54",143,"ocean surgeonfish",2,1
"55",143,"graysby",4,1
"56",143,"sharpnose puffer",1,1
"57",143,"lantern bass",1,1
"58",143,"bluehead wrasse",2,9.5
"59",143,"redband parrotfish",3,11
"60",143,"slippery dick",2,4.5
"61",143,"bicolor damselfish",2,2.5
"62",143,"foureye butterflyfish",3,1
"63",143,"greenblotch parrotfish",2,1
"64",143,"bluehead wrasse",3,1
"65",143,"redband parrotfish",4,1
"66",144,"yellowhead wrasse",1,1
"67",144,"ocean surgeonfish",3,2
"68",144,"spotted goatfish",5,2
"69",144,"scrawled filefish",5,1
"70",144,"blue tang",3,1
"71",144,"reef butterflyfish",2,3
"72",144,"bicolor damselfish",1,10
"73",144,"blue chromis",2,5
"74",144,"bluehead wrasse",1,1
"75",144,"princess parrotfish",3,1
"76",144,"striped parrotfish",1,1
"77",144,"masked goby",1,49
"78",144,"bluehead wrasse",2,5.75
"79",144,"princess parrotfish",4,0.25
"80",144,"striped parrotfish",2,7
"81",144,"harlequin bass",2,1
"82",144,"blue parrotfish",6,1
"83",144,"graysby",3,1
"84",144,"rock beauty",3,1
"85",144,"white grunt",5,1
"86",144,"cocoa damselfish",2,1
"87",144,"sharpnose puffer",1,1
"88",144,"yellowtail parrotfish",6,1
"89",144,"brown chromis",2,1
"90",144,"orangespotted filefish",6,1
"91",144,"redband parrotfish",4,1
"92",144,"foureye butterflyfish",2,1
"93",144,"spanish hogfish",3,1
"94",144,"stoplight parrotfish",6,1
"95",144,"greenblotch parrotfish",2,1
"96",144,"cero",6,1
"97",144,"clown wrasse",2,1
"98",144,"blue tang",5,2
"99",144,"bicolor damselfish",2,30
"100",144,"princess parrotfish",5,2.5
"101",144,"bluehead wrasse",3,2.25
"102",144,"princess parrotfish",6,1.25
"103",144,"yellowhead wrasse",2,1
"104",144,"scrawled filefish",6,1
"105",144,"reef butterflyfish",3,1
"106",144,"blue chromis",3,1
"107",144,"striped parrotfish",3,1
"108",144,"masked goby",2,1
"109",145,"cocoa damselfish",2,2
"110",145,"gray snapper",5,2
"111",145,"trumpetfish",6,2
"112",145,"bar jack",2,2
"113",145,"yellowhead wrasse",2,3
"114",145,"bluehead wrasse",2,7
"115",145,"striped parrotfish",1,18.75
"116",145,"yellowtail snapper",3,1
"117",145,"white grunt",3,1
"118",145,"slippery dick",2,1
"119",145,"blue tang",3,1
"120",145,"redband parrotfish",3,1
