binomial,lifestage,colouration2
Enchelycore nigricans,adult,camouflage
Gymnothorax funebris,adult,neutral
Gymnothorax miliaris,adult,neutral
Gymnothorax moringa,adult,camouflage
Gymnothorax vicinus,adult,neutral
Myrichthys breviceps,adult,neutral
Menidia peninsulae,adult,silvering
Holocentrus adscensionis,adult,neutral
Holocentrus rufus,adult,neutral
Myripristis jacobus,adult,neutral
Acanthurus chirurgus,adult,neutral
Acanthurus coeruleus,adult,colourful
Acanthurus coeruleus,juvenile,colourful
Acanthurus tractus,adult,neutral
Apogon binotatus,adult,neutral
Apogon lachneri,adult,neutral
Hypleurochilus bermudensis,adult,camouflage
Parablennius marmoreus,adult,camouflage
Callionymus bairdi,adult,camouflage
Caranx bartholomaei,adult,colourful
Caranx crysos,adult,silvering
Caranx ruber,adult,silvering
Decapterus macarellus,adult,silvering
Decapterus punctatus,adult,silvering
Seriola dumerili,adult,silvering
Trachinotus carolinus,adult,silvering
Trachinotus falcatus,adult,silvering
Acanthemblemaria aspera,adult,camouflage
Acanthemblemaria chaplini,adult,camouflage
Emblemaria pandionis,adult,camouflage
Emblemariopsis bahamensis,adult,camouflage
Emblemariopsis diaphana,adult,camouflage
Hemiemblemaria simulus,adult,colourful
Chaetodon capistratus,adult,colourful
Chaetodon ocellatus,adult,colourful
Chaetodon sedentarius,adult,colourful
Chaetodon striatus,adult,colourful
Prognathodes aculeatus,adult,colourful
Chaetodipterus faber,adult,silvering
Cephalopholis cruentata,adult,neutral
Cephalopholis fulva,adult,neutral
Epinephelus adscensionis,adult,neutral
Epinephelus guttatus,adult,neutral
Epinephelus morio,adult,neutral
Epinephelus striatus,adult,neutral
Mycteroperca bonaci,adult,neutral
Mycteroperca microlepis,adult,neutral
Mycteroperca phenax,adult,neutral
Rypticus saponaceus,adult,neutral
Coryphopterus dicrus,adult,camouflage
Coryphopterus eidolon,adult,camouflage
Coryphopterus glaucofraenum,adult,camouflage
Coryphopterus personatus,adult,colourful
Ctenogobius saepepallens,adult,camouflage
Elacatinus oceanops,adult,colourful
Gnatholepis thompsoni,adult,camouflage
Nes longus,adult,camouflage
Tigrigobius macrodon,adult,neutral
Anisotremus surinamensis,adult,silvering
Anisotremus virginicus,adult,colourful
Haemulon album,adult,silvering
Haemulon aurolineatum,adult,colourful
Haemulon bonariense,adult,silvering
Haemulon carbonarium,adult,colourful
Haemulon chrysargyreum,adult,colourful
Haemulon flavolineatum,adult,colourful
Haemulon macrostomum,adult,silvering
Haemulon melanurum,adult,colourful
Haemulon parra,adult,silvering
Haemulon plumierii,adult,silvering
Haemulon sciurus,adult,colourful
Haemulon striatum,adult,colourful
Kyphosus sectatrix,adult,silvering
Kyphosus vaigiensis,adult,silvering
Bodianus rufus,adult,colourful
Clepticus parrae,adult,colourful
Cryptotomus roseus,adult,colourful
Halichoeres bivittatus,adult,colourful
Halichoeres garnoti,adult,colourful
Halichoeres maculipinna,adult,colourful
Halichoeres pictus,adult,colourful
Halichoeres poeyi,adult,colourful
Halichoeres radiatus,adult,colourful
Halichoeres radiatus,juvenile,colourful
Lachnolaimus maximus,adult,colourful
Lachnolaimus maximus,juvenile,camouflage
Scarus coelestinus,adult,colourful
Scarus coeruleus,adult,neutral
Scarus guacamaia,adult,colourful
Scarus iseri,adult,colourful
Scarus taeniopterus,adult,colourful
Scarus vetula,adult,colourful
Sparisoma atomarium,adult,colourful
Sparisoma aurofrenatum,adult,colourful
Sparisoma chrysopterum,adult,camouflage
Sparisoma radians,adult,colourful
Sparisoma rubripinne,adult,colourful
Sparisoma viride,adult,colourful
Thalassoma bifasciatum,adult,colourful
Xyrichtys novacula,adult,colourful
Xyrichtys splendens,adult,colourful
Gobioclinus bucciferus,adult,camouflage
Malacoctenus gilli,adult,camouflage
Malacoctenus macropus,adult,camouflage
Malacoctenus triangulatus,adult,camouflage
Lutjanus analis,adult,silvering
Lutjanus apodus,adult,colourful
Lutjanus buccanella,adult,silvering
Lutjanus cyanopterus,adult,silvering
Lutjanus griseus,adult,silvering
Lutjanus jocu,adult,silvering
Lutjanus mahogoni,adult,silvering
Lutjanus synagris,adult,colourful
Ocyurus chrysurus,adult,colourful
Ptereleotris calliura,adult,neutral
Mulloidichthys martinicus,adult,colourful
Pseudupeneus maculatus,adult,colourful
Opistognathus aurifrons,adult,colourful
Opistognathus macrognathus,adult,camouflage
Holacanthus bermudensis,adult,colourful
Holacanthus bermudensis,juvenile,colourful
Holacanthus ciliaris,adult,colourful
Holacanthus ciliaris,juvenile,colourful
Holacanthus tricolor,adult,colourful
Holocanthus townsendi,adult,colourful
Pomacanthus arcuatus,adult,neutral
Pomacanthus arcuatus,juvenile,colourful
Pomacanthus paru,adult,colourful
Pomacanthus paru,juvenile,colourful
Abudefduf saxatilis,adult,colourful
Abudefduf saxatilis,juvenile,colourful
Chromis cyanea,adult,colourful
Chromis cyanea,juvenile,colourful
Chromis insolata,adult,neutral
Chromis insolata,juvenile,colourful
Chromis multilineata,adult,neutral
Chromis multilineata,juvenile,NA
Chromis scotti,adult,neutral
Chromis scotti,juvenile,colourful
Microspathodon chrysurus,adult,neutral
Microspathodon chrysurus,juvenile,colourful
Stegastes adustus,adult,neutral
Stegastes diencaeus,adult,neutral
Stegastes diencaeus,juvenile,colourful
Stegastes leucostictus,adult,neutral
Stegastes leucostictus,juvenile,colourful
Stegastes partitus,adult,colourful
Stegastes partitus,juvenile,NA
Stegastes planifrons,adult,neutral
Stegastes planifrons,juvenile,colourful
Stegastes xanthurus,adult,neutral
Stegastes xanthurus,juvenile,colourful
Equetus punctatus,adult,colourful
Pareques acuminatus,adult,colourful
Scomberomorus maculatus,adult,silvering
Scomberomorus regalis,adult,silvering
Hypoplectrus floridae,adult,neutral
Hypoplectrus gemma,adult,colourful
Hypoplectrus indigo,adult,colourful
Hypoplectrus nigricans,adult,neutral
Hypoplectrus puella,adult,neutral
Hypoplectrus randallorum,adult,neutral
Hypoplectrus unicolor,adult,neutral
Serranus baldwini,adult,camouflage
Serranus tabacarius,adult,colourful
Serranus tigrinus,adult,camouflage
Serranus tortugarum,adult,colourful
Archosargus probatocephalus,adult,silvering
Archosargus rhomboidalis,adult,colourful
Calamus bajonado,adult,colourful
Calamus calamus,adult,silvering
Calamus nodosus,adult,silvering
Calamus pennatula,adult,colourful
Calamus proridens,adult,silvering
Sphyraena barracuda,adult,silvering
Synodus intermedius,adult,camouflage
Synodus synodus,adult,camouflage
Bothus ocellatus,adult,camouflage
Pterois volitans,adult,neutral
Scorpaena plumieri,adult,camouflage
