binomial,lifestage,fnt_group
Enchelycore nigricans,adult,carnivore
Gymnothorax funebris,adult,carnivore
Gymnothorax miliaris,adult,carnivore
Gymnothorax moringa,adult,carnivore
Gymnothorax vicinus,adult,carnivore
Myrichthys breviceps,adult,carnivore
Menidia peninsulae,adult,planktivore
Holocentrus adscensionis,adult,carnivore
Holocentrus rufus,adult,carnivore
Myripristis jacobus,adult,planktivore
Acanthurus chirurgus,adult,herbivore
Acanthurus coeruleus,adult,herbivore
Acanthurus coeruleus,juvenile,herbivore
Acanthurus tractus,adult,herbivore
Apogon binotatus,adult,planktivore
Apogon lachneri,adult,planktivore
Hypleurochilus bermudensis,adult,omnivore
Parablennius marmoreus,adult,omnivore
Callionymus bairdi,adult,carnivore
Caranx bartholomaei,adult,carnivore
Caranx crysos,adult,carnivore
Caranx ruber,adult,carnivore
Decapterus macarellus,adult,planktivore
Decapterus punctatus,adult,planktivore
Seriola dumerili,adult,carnivore
Trachinotus carolinus,adult,carnivore
Trachinotus falcatus,adult,carnivore
Acanthemblemaria aspera,adult,carnivore
Acanthemblemaria chaplini,adult,carnivore
Emblemaria pandionis,adult,carnivore
Emblemariopsis bahamensis,adult,carnivore
Emblemariopsis diaphana,adult,carnivore
Hemiemblemaria simulus,adult,carnivore
Chaetodon capistratus,adult,carnivore
Chaetodon ocellatus,adult,carnivore
Chaetodon sedentarius,adult,carnivore
Chaetodon striatus,adult,carnivore
Prognathodes aculeatus,adult,carnivore
Chaetodipterus faber,adult,carnivore
Cephalopholis cruentata,adult,carnivore
Cephalopholis fulva,adult,carnivore
Epinephelus adscensionis,adult,carnivore
Epinephelus guttatus,adult,carnivore
Epinephelus morio,adult,carnivore
Epinephelus striatus,adult,carnivore
Mycteroperca bonaci,adult,carnivore
Mycteroperca microlepis,adult,carnivore
Mycteroperca phenax,adult,carnivore
Rypticus saponaceus,adult,carnivore
Coryphopterus dicrus,adult,omnivore
Coryphopterus eidolon,adult,omnivore
Coryphopterus glaucofraenum,adult,omnivore
Coryphopterus personatus,adult,planktivore
Ctenogobius saepepallens,adult,carnivore
Elacatinus oceanops,adult,carnivore
Gnatholepis thompsoni,adult,omnivore
Nes longus,adult,carnivore
Tigrigobius macrodon,adult,carnivore
Anisotremus surinamensis,adult,carnivore
Anisotremus virginicus,adult,carnivore
Haemulon album,adult,carnivore
Haemulon aurolineatum,adult,omnivore
Haemulon bonariense,adult,carnivore
Haemulon carbonarium,adult,carnivore
Haemulon chrysargyreum,adult,carnivore
Haemulon flavolineatum,adult,carnivore
Haemulon macrostomum,adult,carnivore
Haemulon melanurum,adult,carnivore
Haemulon parra,adult,carnivore
Haemulon plumierii,adult,carnivore
Haemulon sciurus,adult,carnivore
Haemulon striatum,adult,carnivore
Kyphosus sectatrix,adult,omnivore
Kyphosus vaigiensis,adult,omnivore
Bodianus rufus,adult,carnivore
Clepticus parrae,adult,carnivore
Cryptotomus roseus,adult,herbivore
Halichoeres bivittatus,adult,carnivore
Halichoeres garnoti,adult,carnivore
Halichoeres maculipinna,adult,carnivore
Halichoeres pictus,adult,carnivore
Halichoeres poeyi,adult,carnivore
Halichoeres radiatus,adult,carnivore
Halichoeres radiatus,juvenile,carnivore
Lachnolaimus maximus,adult,carnivore
Lachnolaimus maximus,juvenile,carnivore
Scarus coelestinus,adult,herbivore
Scarus coeruleus,adult,omnivore
Scarus guacamaia,adult,herbivore
Scarus iseri,adult,herbivore
Scarus taeniopterus,adult,herbivore
Scarus vetula,adult,herbivore
Sparisoma atomarium,adult,herbivore
Sparisoma aurofrenatum,adult,herbivore
Sparisoma chrysopterum,adult,herbivore
Sparisoma radians,adult,herbivore
Sparisoma rubripinne,adult,herbivore
Sparisoma viride,adult,omnivore
Thalassoma bifasciatum,adult,carnivore
Xyrichtys novacula,adult,carnivore
Xyrichtys splendens,adult,carnivore
Gobioclinus bucciferus,adult,carnivore
Malacoctenus gilli,adult,carnivore
Malacoctenus macropus,adult,carnivore
Malacoctenus triangulatus,adult,carnivore
Lutjanus analis,adult,carnivore
Lutjanus apodus,adult,carnivore
Lutjanus buccanella,adult,carnivore
Lutjanus cyanopterus,adult,carnivore
Lutjanus griseus,adult,carnivore
Lutjanus jocu,adult,carnivore
Lutjanus mahogoni,adult,carnivore
Lutjanus synagris,adult,carnivore
Ocyurus chrysurus,adult,carnivore
Ptereleotris calliura,adult,planktivore
Mulloidichthys martinicus,adult,carnivore
Pseudupeneus maculatus,adult,carnivore
Opistognathus aurifrons,adult,planktivore
Opistognathus macrognathus,adult,carnivore
Holacanthus bermudensis,adult,carnivore
Holacanthus bermudensis,juvenile,carnivore
Holacanthus ciliaris,adult,omnivore
Holacanthus ciliaris,juvenile,omnivore
Holacanthus tricolor,adult,omnivore
Holocanthus townsendi,adult,omnivore
Pomacanthus arcuatus,adult,omnivore
Pomacanthus arcuatus,juvenile,omnivore
Pomacanthus paru,adult,omnivore
Pomacanthus paru,juvenile,omnivore
Abudefduf saxatilis,adult,omnivore
Abudefduf saxatilis,juvenile,omnivore
Chromis cyanea,adult,planktivore
Chromis cyanea,juvenile,planktivore
Chromis insolata,adult,planktivore
Chromis insolata,juvenile,planktivore
Chromis multilineata,adult,planktivore
Chromis multilineata,juvenile,planktivore
Chromis scotti,adult,planktivore
Chromis scotti,juvenile,planktivore
Microspathodon chrysurus,adult,omnivore
Microspathodon chrysurus,juvenile,omnivore
Stegastes adustus,adult,herbivore
Stegastes diencaeus,adult,omnivore
Stegastes diencaeus,juvenile,omnivore
Stegastes leucostictus,adult,omnivore
Stegastes leucostictus,juvenile,omnivore
Stegastes partitus,adult,omnivore
Stegastes partitus,juvenile,omnivore
Stegastes planifrons,adult,omnivore
Stegastes planifrons,juvenile,omnivore
Stegastes xanthurus,adult,omnivore
Stegastes xanthurus,juvenile,omnivore
Equetus punctatus,adult,carnivore
Pareques acuminatus,adult,carnivore
Scomberomorus maculatus,adult,carnivore
Scomberomorus regalis,adult,carnivore
Hypoplectrus floridae,adult,carnivore
Hypoplectrus gemma,adult,carnivore
Hypoplectrus indigo,adult,carnivore
Hypoplectrus nigricans,adult,carnivore
Hypoplectrus puella,adult,carnivore
Hypoplectrus randallorum,adult,carnivore
Hypoplectrus unicolor,adult,carnivore
Serranus baldwini,adult,carnivore
Serranus tabacarius,adult,carnivore
Serranus tigrinus,adult,carnivore
Serranus tortugarum,adult,planktivore
Archosargus probatocephalus,adult,carnivore
Archosargus rhomboidalis,adult,omnivore
Calamus bajonado,adult,carnivore
Calamus calamus,adult,carnivore
Calamus nodosus,adult,carnivore
Calamus pennatula,adult,carnivore
Calamus proridens,adult,carnivore
Sphyraena barracuda,adult,carnivore
Synodus intermedius,adult,carnivore
Synodus synodus,adult,carnivore
Bothus ocellatus,adult,carnivore
Pterois volitans,adult,carnivore
Scorpaena plumieri,adult,carnivore
Aulostomus maculatus,adult,carnivore
Balistes capriscus,adult,carnivore
Canthidermis sufflamen,adult,planktivore
Diodon holocanthus,adult,carnivore
Diodon hystrix,adult,carnivore
Aluterus scriptus,adult,omnivore
Cantherhines macrocerus,adult,omnivore
Cantherhines pullus,adult,omnivore
Monacanthus tuckeri,adult,omnivore
Acanthostracion quadricornis,adult,omnivore
Lactophrys bicaudalis,adult,omnivore
Lactophrys bicaudalis,juvenile,omnivore
Lactophrys trigonus,adult,omnivore
Lactophrys triqueter,adult,carnivore
Lactophrys triqueter,juvenile,carnivore
Canthigaster rostrata,adult,omnivore
Sphoeroides spengleri,adult,carnivore
