X,session,site,habitat,octocoral,stony,relief_cm,species_order,family,binomial,species,size_bin,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,SVC_date,SVC_max_depth,SVC_area,SVC_abundance,SVC_density,pred_date,pred_depth,pred_area,pred_abundance,pred_density,SVC_pred_difference,total_density,log_difference,average_depth,colouration2,shape,fnt_group,size_bin_char
3,141,BISC-P12a,Patch,70,5,42.1666666666667,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,1,0,benthic,solitary,200,conspicuous,1,2014-09-16,15,78.53981634,0,0,2014-09-16,20,1131,4,0.00353669319186561,-0.00353669319186561,0.00353669319186561,-1.51219837482584,17.5,camouflage,anguilliform,carnivore,6
4,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,1,0,demersal,solitary,152,none,1,2014-09-16,15,78.53981634,0,0,2014-09-16,20,1131,1,8.84173297966401e-4,-8.84173297966401e-4,8.84173297966401e-4,-0.633489155982496,17.5,neutral,fusiform,carnivore,6
5,141,BISC-P12a,Patch,70,5,42.1666666666667,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,2,1,1,demersal,solitary,45.7,conspicuous,1,2014-09-16,15,78.53981634,0,0,2014-09-16,20,1131,1,8.84173297966401e-4,-8.84173297966401e-4,8.84173297966401e-4,-0.633489155982496,17.5,neutral,fusiform,carnivore,2
6,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,1,0,demersal,solitary,125,none,1,2014-09-16,15,78.53981634,0,0,2014-09-16,20,1131,1,8.84173297966401e-4,-8.84173297966401e-4,8.84173297966401e-4,-0.633489155982496,17.5,neutral,fusiform,carnivore,6
8,142,BISC-P13a,Patch,80,5,49.0769230769231,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,1,1,0,demersal,solitary,152,none,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,3276,1,3.05250305250305e-4,-3.05250305250305e-4,3.05250305250305e-4,-0.266394827171975,18,neutral,fusiform,carnivore,1
9,142,BISC-P13a,Patch,80,5,49.0769230769231,Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,6,1,1,demersal,solitary,250,none,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,3276,1,3.05250305250305e-4,-3.05250305250305e-4,3.05250305250305e-4,-0.266394827171975,18,neutral,anguilliform,carnivore,6
10,142,BISC-P13a,Patch,80,5,49.0769230769231,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,5,1,0,demersal,solitary,50,cryptic,1,2014-09-16,20,153.93804,0,0,2014-09-16,16,3276,1,3.05250305250305e-4,-3.05250305250305e-4,3.05250305250305e-4,-0.266394827171975,18,camouflage,fusiform,carnivore,5
11,143,BISC-W30a,Continuous,40,2,36.3846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,30,153.93804,1,0.00649612012729277,2014-09-16,29,2000,3,0.0015,0.00499612012729277,0.00799612012729277,1.09809483845287,29.5,neutral,fusiform,carnivore,4
12,143,BISC-W30a,Continuous,40,2,36.3846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,3,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,30,153.93804,0,0,2014-09-16,29,2000,2,0.001,-0.001,0.001,-0.693147180559945,29.5,neutral,fusiform,carnivore,3
13,143,BISC-W30a,Continuous,40,2,36.3846153846154,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,1,1,demersal,solitary,33,conspicuous,1,2014-09-16,30,153.93804,0,0,2014-09-16,29,2000,1,5e-4,-5e-4,5e-4,-0.405465108108165,29.5,neutral,fusiform,carnivore,5
