session,site,species_order,family,binomial,species,size_bin,size_bin_lengths,habitat,octocoral,stony,relief_cm,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,trophic_position,shape,SVC_date,SVC_max_depth,SVC_abundance,SVC_area,SVC_density,prey_date,prey_depth,prey_abundance,prey_area,prey_density,SVC_prey_difference,total_density,log_difference,average_depth
141,BISC-P12a,Perciformes,Pomacentridae,Stegastes planifrons,threespot damselfish,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,13,neutral,0,herbivore,compressiform,2014-09-16,15,2,78.53981634,0.02546479089462052,2014-09-16,14.5,1,48,0.020833333333333332,0.004631457561287189,0.04629812422795385,0.1923773501010495,14.75
141,BISC-P12a,Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,schooling,86.3,colourful,0,carnivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,8,48,0.16666666666666666,-0.1539342712193564,0.1793990621139769,-2.502220208747892,14.75
141,BISC-P12a,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,28,colourful,1,herbivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,6,48,0.125,-0.11226760455268973,0.13773239544731025,-2.216524234267741,14.75
141,BISC-P12a,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,50,colourful,0,omnivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,2,48,0.041666666666666664,-0.028934271219356406,0.05439906211397692,-1.1336603025677703,14.75
141,BISC-P12a,Perciformes,Haemulidae,Haemulon plumierii,white grunt,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,15,51.75,78.53981634,0.658901464398306,2014-09-16,14.5,64,48,1.3333333333333333,-0.6744318689350273,1.9922347977316393,-0.7040965428160074,14.75
141,BISC-P12a,Perciformes,Labridae,Scarus iseri,striped parrotfish,1,3.63321,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,35,colourful,0,herbivore,fusiform,2014-09-16,15,3.75,78.53981634,0.04774648292741347,2014-09-16,14.5,7,48,0.14583333333333334,-0.09808685040591987,0.19357981626074683,-1.1026651069455478,14.75
141,BISC-P12a,Perciformes,Pomacentridae,Stegastes xanthurus,cocoa damselfish,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,12.5,neutral,0,omnivore,compressiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,0,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,Perciformes,Acanthuridae,Acanthurus coeruleus,blue tang,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,36,colourful,0,herbivore,compressiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,0,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,schooling,46,colourful,0,invertivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,0,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,Perciformes,Serranidae,Hypoplectrus unicolor,butter hamlet,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,solitary,13,neutral,1,carnivore,compressiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,0,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,Perciformes,Chaetodontidae,Chaetodon capistratus,foureye butterflyfish,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,solitary,7.5,colourful,1,invertivore,compressiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,0,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,28,colourful,1,herbivore,fusiform,2014-09-16,15,2,78.53981634,0.02546479089462052,2014-09-16,14.5,4,48,0.08333333333333333,-0.05786854243871281,0.10879812422795385,-1.1589619959852646,14.75
141,BISC-P12a,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,50,colourful,0,omnivore,fusiform,2014-09-16,15,2,78.53981634,0.02546479089462052,2014-09-16,14.5,1,48,0.020833333333333332,0.004631457561287189,0.04629812422795385,0.1923773501010495,14.75
141,BISC-P12a,Perciformes,Labridae,Scarus iseri,striped parrotfish,2,7.533217,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,35,colourful,0,herbivore,fusiform,2014-09-16,15,7.5,78.53981634,0.09549296585482694,2014-09-16,14.5,3,48,0.0625,0.032992965854826944,0.15799296585482694,0.41843020709339873,14.75
141,BISC-P12a,Perciformes,Haemulidae,Haemulon plumierii,white grunt,4,17.94356,Patch,70,5,42.166666666666664,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,15,16.25,78.53981634,0.20690142601879172,2014-09-16,14.5,4,48,0.08333333333333333,0.12356809268545839,0.29023475935212506,0.90228685393828,14.75
141,BISC-P12a,Perciformes,Labridae,Scarus iseri,striped parrotfish,4,17.94356,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,35,colourful,0,herbivore,fusiform,2014-09-16,15,2.75,78.53981634,0.03501408748010321,2014-09-16,14.5,0,48,0,0.03501408748010321,0.03501408748010321,3.583910180802597,14.75
141,BISC-P12a,Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,schooling,86.3,colourful,0,carnivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,0,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,3,12.91456,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,28,colourful,1,herbivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,2,48,0.041666666666666664,-0.028934271219356406,0.05439906211397692,-1.1336603025677703,14.75
141,BISC-P12a,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,6,47.70199,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,50,colourful,0,omnivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,0,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
141,BISC-P12a,Perciformes,Haemulidae,Haemulon plumierii,white grunt,5,24.92844,Patch,70,5,42.166666666666664,0,0,demersal,schooling,59,silvering,0,carnivore,compressiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,2,48,0.041666666666666664,-0.028934271219356406,0.05439906211397692,-1.1336603025677703,14.75
141,BISC-P12a,Perciformes,Labridae,Scarus iseri,striped parrotfish,5,24.92844,Patch,70,5,42.166666666666664,0,0,demersal,shoaling,35,colourful,0,herbivore,fusiform,2014-09-16,15,1,78.53981634,0.01273239544731026,2014-09-16,14.5,0,48,0,0.01273239544731026,0.01273239544731026,2.619757672683737,14.75
