X,session,site,habitat,octocoral,stony,relief_cm,species_order,family,binomial,species,size_bin,predator_presence,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,SVC_date,SVC_max_depth,SVC_area,SVC_abundance,SVC_density,prey_date,prey_depth,prey_area,prey_abundance,prey_density,SVC_prey_difference,total_density,log_difference,average_depth,colouration2,shape,fnt_group,size_bin_char
1,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Pomacentridae,Stegastes planifrons,threespot damselfish,2,0,0,demersal,solitary,13,none,0,2014-09-16,15,78.53981634,2,0.0254647908946205,2014-09-16,14.5,48,1,0.0208333333333333,0.00463145756128719,0.0462981242279539,0.19237735010105,14.75,neutral,compressiform,omnivore,2
2,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,2,0,0,demersal,schooling,86.3,conspicuous,0,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,8,0.166666666666667,-0.153934271219356,0.179399062113977,-2.50222020874789,14.75,colourful,fusiform,carnivore,2
3,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,1,0,0,demersal,shoaling,28,cryptic,1,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,6,0.125,-0.11226760455269,0.13773239544731,-2.21652423426774,14.75,colourful,fusiform,herbivore,1
4,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,1,0,0,demersal,shoaling,50,none,0,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,2,0.0416666666666667,-0.0289342712193564,0.0543990621139769,-1.13366030256777,14.75,colourful,fusiform,omnivore,1
5,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Haemulidae,Haemulon plumierii,white grunt,2,0,0,demersal,schooling,59,none,0,2014-09-16,15,78.53981634,51.75,0.658901464398306,2014-09-16,14.5,48,64,1.33333333333333,-0.674431868935027,1.99223479773164,-0.704096542816007,14.75,silvering,compressiform,carnivore,2
6,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Scarus iseri,striped parrotfish,1,0,0,demersal,shoaling,35,conspicuous,0,2014-09-16,15,78.53981634,3.75,0.0477464829274135,2014-09-16,14.5,48,7,0.145833333333333,-0.0980868504059199,0.193579816260747,-1.10266510694555,14.75,colourful,fusiform,herbivore,1
7,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Pomacentridae,Stegastes xanthurus,cocoa damselfish,2,0,0,demersal,solitary,12.5,conspicuous,0,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,14.75,neutral,compressiform,omnivore,2
8,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Acanthuridae,Acanthurus coeruleus,blue tang,2,0,0,demersal,solitary,36,cryptic,0,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,14.75,colourful,compressiform,herbivore,2
9,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,3,0,0,demersal,schooling,46,none,0,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,14.75,colourful,fusiform,invertivore,3
11,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Serranidae,Hypoplectrus unicolor,butter hamlet,3,0,0,demersal,solitary,13,conspicuous,1,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,14.75,neutral,compressiform,carnivore,3
13,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Chaetodontidae,Chaetodon capistratus,foureye butterflyfish,2,0,0,demersal,solitary,7.5,conspicuous,1,2014-09-16,15,78.53981634,1,0.0127323954473103,2014-09-16,14.5,48,0,0,0.0127323954473103,0.0127323954473103,2.61975767268374,14.75,colourful,compressiform,invertivore,2
14,141,BISC-P12a,Patch,70,5,42.1666666666667,Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,2,0,0,demersal,shoaling,28,cryptic,1,2014-09-16,15,78.53981634,2,0.0254647908946205,2014-09-16,14.5,48,4,0.0833333333333333,-0.0578685424387128,0.108798124227954,-1.15896199598526,14.75,colourful,fusiform,herbivore,2
