session,species,size_bin,SVC_abundance,prey_abundance,pred_abundance,size_bin_lengths
141,threespot damselfish,2,2,1,0,7.533217
141,yellowtail snapper,2,1,8,0,7.533217
141,redband parrotfish,1,1,6,0,3.63321
141,stoplight parrotfish,1,1,2,0,3.63321
141,white grunt,2,51.75,64,0,7.533217
141,striped parrotfish,1,3.75,7,0,3.63321
141,cocoa damselfish,2,1,0,0,7.533217
141,blue tang,2,1,0,0,7.533217
141,bluestriped grunt,3,1,0,0,12.91456
141,juvenile hamlet,2,1,0,0,7.533217
141,butter hamlet,3,1,0,0,12.91456
141,trumpetfish,6,1,0,0,47.70199
141,foureye butterflyfish,2,1,0,0,7.533217
141,redband parrotfish,2,2,4,0,7.533217
141,stoplight parrotfish,3,2,1,0,12.91456
141,striped parrotfish,2,7.5,3,0,7.533217
141,white grunt,4,16.25,4,0,17.94356
141,striped parrotfish,4,2.75,0,0,17.94356
141,yellowtail snapper,3,1,0,0,12.91456
141,redband parrotfish,3,1,2,0,12.91456
141,stoplight parrotfish,6,1,0,0,47.70199
141,white grunt,5,1,2,0,24.92844
141,striped parrotfish,5,1,0,0,24.92844
141,beaugregory,1,0,2,0,3.63321
141,blue angelfish,4,0,1,0,17.94356
141,bluehead wrasse,1,0,1,0,3.63321
141,bluestriped grunt,2,0,4,0,7.533217
141,bluestriped grunt,5,0,2,0,24.92844
141,bridled goby,1,0,1,0,3.63321
141,butter hamlet,2,0,4,0,7.533217
141,colon goby,1,0,1,0,3.63321
141,dusky damselfish,2,0,1,0,7.533217
141,goldspot goby,1,0,1,0,3.63321
141,goldspot goby,2,0,2,0,7.533217
141,gray angelfish,2,0,1,0,7.533217
141,masked goby,1,0,10,0,3.63321
141,queen angelfish,3,0,1,0,12.91456
141,red grouper,5,0,1,0,24.92844
141,roughhead blenny,1,0,1,0,3.63321
141,sand diver,5,0,1,0,24.92844
141,sharpnose puffer,2,0,1,0,7.533217
141,slippery dick,3,0,2,0,12.91456
141,spotted moray,6,0,2,4,47.70199
141,stoplight parrotfish,2,0,3,0,7.533217
141,striped parrotfish,3,0,1,0,12.91456
141,white grunt,1,0,1,0,3.63321
141,white grunt,3,0,21,0,12.91456
141,black grouper,6,0,0,1,47.70199
141,lionfish,2,0,0,1,7.533217
141,red grouper,6,0,0,1,47.70199
142,trumpetfish,6,2,0,0,47.70199
142,bluehead wrasse,1,1,0,0,3.63321
142,redband parrotfish,1,1,3,0,3.63321
142,yellowtail snapper,3,11.25,12,0,12.91456
142,bluehead wrasse,2,4.25,5,0,7.533217
142,redband parrotfish,2,4,7,0,7.533217
142,bicolor damselfish,2,1,1,0,7.533217
142,threespot damselfish,2,1,3,0,7.533217
142,white grunt,5,1,6,0,24.92844
142,sergeant major,3,1,0,0,12.91456
142,stoplight parrotfish,2,1,3,0,7.533217
142,sharpnose puffer,1,1,1,0,3.63321
142,bar jack,2,1,0,0,7.533217
142,striped parrotfish,2,1,5,0,7.533217
142,bluehead wrasse,3,1.75,0,0,12.91456
142,yellowtail snapper,4,3.75,0,0,17.94356
142,redband parrotfish,3,1,1,0,12.91456
142,beaugregory,2,0,2,0,7.533217
142,bicolor damselfish,1,0,3,0,3.63321
142,black hamlet,2,0,1,0,7.533217
142,bluestriped grunt,4,0,1,0,17.94356
142,bridled goby,1,0,2,0,3.63321
142,butter hamlet,2,0,1,0,7.533217
142,goldspot goby,1,0,1,0,3.63321
142,highhat,3,0,1,0,12.91456
142,neon goby,1,0,1,0,3.63321
142,roughhead blenny,1,0,2,0,3.63321
142,schoolmaster snapper,4,0,1,0,17.94356
142,slippery dick,2,0,1,0,7.533217
142,stoplight parrotfish,1,0,2,0,3.63321
142,stoplight parrotfish,3,0,1,0,12.91456
142,white grunt,2,0,2,0,7.533217
